annual_revenue,Month_on_Book,Branch_Trans_3_Mos,ATM_Trans_3_Mos,signon_trans_3_Mos,CC_Visits_3_Mos,VRU_visits_3_Mos,BP_trans_3_Mos,RDC_trans_3_Mos,Checking_flag,Savings_flag,Loans_LOC_flag,CreditCard_flag,CDs_flag,HELoans_HELOC_flag,MMDA_flag,Customer_Value,Gender_P1,Household_Age,Auto_Refinance,Credit_Card,Home_Equity_ITA,Click,Open,DV,Dwelling_Type_Business,Dwelling_Type_Condo,Dwelling_Type_MobileHome,Dwelling_Type_MultiFamilyUnit,Dwelling_Type_SingleFamily,Dwelling_Type_Unknown
6400,518,0,0,14,0,0,0,0,1,0,1,1,0,0,1,300000.0,0,7.0,0,0,0,0,1,1,0,0,0,0,1,0
99,406,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3736.0,1,7.0,0,1,0,0,0,1,0,0,0,0,1,0
1358,467,2,3,7,0,0,0,0,1,0,0,0,1,0,0,73733.0,0,7.0,0,0,0,0,0,1,0,0,0,0,1,0
1585,485,5,0,271,1,1,0,0,1,0,1,1,0,0,1,61596.0,1,6.0,0,1,0,0,0,1,0,0,0,1,0,0
669,494,0,0,45,0,0,0,0,1,0,1,1,0,1,1,72519.0,1,7.0,0,0,0,0,1,1,0,0,0,0,1,0
886,306,0,0,115,1,0,0,0,0,0,0,0,0,0,1,442.0,1,6.0,0,1,0,0,0,1,0,0,0,1,0,0
4177,494,2,0,0,1,0,0,0,1,0,0,0,0,0,0,245220.0,1,7.0,0,0,0,1,0,0,0,0,0,0,1,0
292,577,6,8,0,0,1,0,0,1,0,1,1,0,0,0,1448.0,1,6.0,0,1,0,0,0,0,0,0,0,0,1,0
2044,315,0,5,433,4,1,0,0,1,0,1,1,0,0,0,27189.0,0,5.0,0,0,0,0,0,1,0,0,0,0,1,0
1399,296,3,1,0,0,0,0,0,1,0,0,1,1,0,0,119147.0,0,5.0,0,0,0,0,1,0,0,0,0,0,1,0
267,512,0,0,10,0,0,0,0,0,0,0,1,0,0,0,893.0,1,5.0,0,1,0,0,0,1,0,0,0,0,1,0
1327,354,1,2,9,0,0,3,0,0,0,0,0,0,0,1,53566.0,0,4.0,0,1,0,0,1,1,0,0,0,0,1,0
6400,494,3,0,0,0,0,0,0,1,0,0,1,1,0,0,276639.0,1,7.0,0,0,0,0,0,0,0,0,0,0,1,0
531,344,2,0,82,0,0,18,0,1,0,0,1,0,0,0,14186.0,1,6.0,0,0,0,1,1,1,0,1,0,0,0,0
748,520,2,8,177,0,0,0,0,1,0,0,1,0,0,1,22734.0,0,7.0,0,0,0,0,0,1,0,0,0,0,1,0
6400,435,0,0,31,0,0,18,0,1,0,0,1,0,0,1,300000.0,0,6.0,0,1,0,0,1,1,0,0,0,0,1,0
1638,544,4,0,71,1,1,0,0,1,0,1,0,1,0,0,207019.0,0,6.0,0,1,0,0,1,1,0,0,0,0,1,0
649,314,1,1,0,1,1,0,0,1,0,1,0,0,0,1,19670.0,1,5.0,0,1,0,0,1,1,0,0,0,0,1,0
1875,343,0,1,73,2,1,0,0,1,0,0,0,0,1,0,116046.0,1,5.0,0,0,0,0,1,1,0,0,0,0,1,0
3620,577,12,7,0,0,0,0,0,1,0,0,1,1,1,0,170225.0,0,7.0,0,0,0,0,0,1,0,0,0,0,1,0
179,320,1,11,190,0,0,0,0,1,1,0,1,0,0,0,1250.0,0,2.0,0,0,0,0,0,1,0,0,0,0,1,0
788,284,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1440.0,1,4.0,0,0,0,0,0,0,0,0,0,0,1,0
1625,494,13,0,0,0,1,0,0,1,0,0,1,0,0,1,30249.0,0,3.0,0,0,0,0,0,0,0,0,0,0,1,0
0,273,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,7.0,0,0,0,0,0,1,0,0,0,0,1,0
208,312,0,0,116,1,0,4,2,0,0,0,1,0,1,0,2015.0,0,5.0,0,0,0,0,1,1,0,0,0,0,1,0
1745,409,1,0,0,0,0,0,0,0,0,1,1,0,0,0,23914.0,0,5.0,0,1,0,0,1,0,0,1,0,0,0,0
319,374,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2502.0,1,5.0,0,0,0,0,1,1,0,0,0,0,1,0
